player_id,player_name,team_id,team_name,shirtNo
534797,Toni Fernández,65,Barcelona,29
534899,Raúl Asencio,52,Real Madrid,17
536926,Iliesse Salhi,51,Mallorca,26
537059,Marco de Las Sias,64,Rayo Vallecano,26
537076,Marc Domenech,51,Mallorca,30
537201,Raúl Chasco,131,Osasuna,34
537235,Pau Navarro,839,Villarreal,26
537870,Jan Salas,51,Mallorca,28
537981,Manu González,54,Real Betis,41
538494,Pau Cabanes,839,Villarreal,33
538555,Coba da Costa,819,Getafe,20
540651,Álex Costa,67,Sevilla,26
541704,Maroan Sannadi,53,Athletic Club,21
541854,Paco Cortés,832,Levante,27
541871,Jon Gorrotxategi,68,Real Sociedad,4
543207,Miguel Narváez,61,Real Oviedo,26
544392,Rubén Gómez,839,Villarreal,31
544431,Papa Dame Ba,2783,Girona,44
544767,Jean Valou,839,Villarreal,27
544978,Albert Niculaesei,833,Elche,27
545675,Ángel Ortiz,54,Real Betis,40
546571,Mikel Goti,68,Real Sociedad,22
548106,Víctor Muñoz,131,Osasuna,21
549511,Adrián Molina,64,Rayo Vallecano,40
550147,Ismael Bekhoucha,819,Getafe,31
550572,Pablo López,55,Valencia,33
551186,Pablo García,54,Real Betis,52
555136,Roger Hinojo,70,Espanyol,31
557844,Omar Falah,61,Real Oviedo,29
558189,Mikel Santos,53,Athletic Club,26
560362,Alejandro Rego,53,Athletic Club,30
560766,Lucas Núñez,55,Valencia,29
561841,Lander Pinillos,60,Deportivo Alaves,28
565341,Salvi Esquivel,63,Atletico,31
568292,Lamine Gueye,61,Real Oviedo,28
568737,Davinchi,819,Getafe,26
572374,Jofre Torrents,65,Barcelona,26
572375,Dro Fernández,65,Barcelona,27
575503,Jon de Luis,53,Athletic Club,34
577403,Thiago Pitarch,52,Real Madrid,45
578016,Samu Becerra,64,Rayo Vallecano,28
578018,Gibi,2783,Girona,28
578034,Cheli,61,Real Oviedo,31
578262,Aimar Blázquez,55,Valencia,37
578263,Cayetano,832,Levante,34
578266,Nacho Pérez,832,Levante,29
578267,Joan Ruiz Agustina,832,Levante,33
578366,Mauro Echegoyen,131,Osasuna,26
578374,Manuel Fernández,62,Celta Vigo,12
578375,Marc Vilaplana,819,Getafe,33
578539,Edu Altozano,67,Sevilla,39
578652,Antonio Martínez,833,Elche,37
578871,Iván Corralejo,54,Real Betis,50
581683,Jan Virgili,51,Mallorca,29
581870,Theo Folgado,68,Real Sociedad,41
582063,Hugo Lopez,839,Villarreal,32
